Metascore,NameGame,NameConsole,Userscore,NameCompany,Fecha
89,Shin Megami Tensei: Persona 3 Portable,PSP,7.8,Sony,2010-07-05 00:00:00.0
89,NHL 2002,XBOX,8.8,Microsoft,2001-12-10 00:00:00.0
88,Pokemon Y,3DS,8.6,Nintendo,2013-10-12 00:00:00.0
88,Madden NFL 2002,PS,8.0,Sony,2001-08-13 00:00:00.0
87,Rayman Legends,VITA,8.4,Sony,2013-09-03 00:00:00.0
85,Radiant Historia,DS,8.5,Nintendo,2011-02-22 00:00:00.0
84,Tony Hawk's Pro Skater 2,N64,8.8,Nintendo,2001-08-21 00:00:00.0
97,Perfect Dark,N64,8.9,Nintendo,2000-05-22 00:00:00.0
95,The Last of Us Remastered,PS4,9.1,Sony,2014-07-29 00:00:00.0
95,Gran Turismo 3: A-Spec,PS2,8.4,Sony,2001-07-09 00:00:00.0
91,Golden Sun,GBA,9.0,Nintendo,2001-11-11 00:00:00.0
91,Rayman Legends,PS3,8.7,Sony,2013-09-03 00:00:00.0
91,INSIDE,Switch,8.2,Nintendo,2018-06-28 00:00:00.0
90,Brothers: A Tale of Two Sons,PC,8.6,PC,2013-09-03 00:00:00.0
90,NFL 2K2,DC,7.9,Sega,2001-09-19 00:00:00.0
89,Metal Gear Solid: Peace Walker,PSP,8.8,Sony,2010-06-08 00:00:00.0
89,Pikmin,GC,8.7,Nintendo,2001-12-02 00:00:00.0
89,Max Payne,XBOX,8.2,Microsoft,2001-12-12 00:00:00.0
89,Skylanders Swap Force,WIIU,6.1,Nintendo,2013-10-13 00:00:00.0
88,Minecraft: Xbox One Edition,XONE,6.7,Microsoft,2014-11-18 00:00:00.0
88,Star Wars Pinball: Balance of the Force,X360,6.1,Microsoft,2013-10-16 00:00:00.0
88,Animal Crossing: New Leaf,3DS,8.7,Nintendo,2013-06-09 00:00:00.0
87,Tearaway,VITA,8.9,Sony,2013-11-22 00:00:00.0
87,Tony Hawk's Pro Skater 3,PS,8.1,Sony,2001-10-29 00:00:00.0
85,The Legend of Zelda: Four Swords Anniversary Edition,DS,7.4,Nintendo,2011-09-28 00:00:00.0
85,Tiger Woods PGA Tour 12: The Masters,WII,6.4,Nintendo,2011-03-29 00:00:00.0
95,The Legend of Zelda: Majora's Mask,N64,9.1,Nintendo,2000-10-25 00:00:00.0
94,Devil May Cry,PS2,8.6,Sony,2001-10-16 00:00:00.0
91,Castlevania: Circle of the Moon,GBA,8.5,Nintendo,2001-06-10 00:00:00.0
91,Sonic Mania Plus,Switch,8.8,Nintendo,2018-07-17 00:00:00.0
90,Diablo III: Ultimate Evil Edition,PS4,8.0,Sony,2014-08-19 00:00:00.0
90,Dota 2,PC,6.5,PC,2013-07-09 00:00:00.0
89,Phantasy Star Online,DC,8.4,Sega,2001-01-29 00:00:00.0
89,Madden NFL 2002,GC,7.5,Nintendo,2001-11-17 00:00:00.0
88,SSX Tricky,XBOX,8.7,Microsoft,2001-12-10 00:00:00.0
88,Guacamelee! Super Turbo Championship Edition,XONE,7.0,Microsoft,2014-07-02 00:00:00.0
88,Assassin's Creed IV: Black Flag,PS3,8.2,Sony,2013-10-29 00:00:00.0
88,XCOM: Enemy Within,X360,7.6,Microsoft,2013-11-12 00:00:00.0
88,Deus Ex: Human Revolution - Director's Cut,WIIU,8.5,Nintendo,2013-10-22 00:00:00.0
87,La-Mulana,WII,8.2,Nintendo,2012-09-20 00:00:00.0
87,Pokemon X,3DS,8.6,Nintendo,2013-10-12 00:00:00.0
87,Velocity Ultra,VITA,7.9,Sony,2013-07-02 00:00:00.0
87,Dragon Quest IX: Sentinels of the Starry Skies,DS,8.5,Nintendo,2010-07-11 00:00:00.0
86,God of War: Ghost of Sparta,PSP,8.5,Sony,2010-11-02 00:00:00.0
85,Metal Slug X,PS,8.7,Sony,2001-04-14 00:00:00.0
97,Super Mario Galaxy 2,WII,9.1,Nintendo,2010-05-23 00:00:00.0
94,Madden NFL 2002,PS2,7.4,Sony,2001-08-19 00:00:00.0
91,Mario Tennis,N64,8.9,Nintendo,2000-08-28 00:00:00.0
90,Velocity 2X,VITA,7.2,Sony,2014-09-02 00:00:00.0
