NameCompany,NameConsole,NameGame,Metascore,Userscore,Fecha
Nintendo,N64,Perfect Dark,97,8.9,2000-05-22 00:00:00.0
Nintendo,N64,The Legend of Zelda: Majora's Mask,95,9.1,2000-10-25 00:00:00.0
Nintendo,N64,Paper Mario,93,9.1,2001-02-05 00:00:00.0
Nintendo,N64,Conker's Bad Fur Day,92,9.1,2001-03-04 00:00:00.0
Nintendo,N64,Mario Tennis,91,8.9,2000-08-28 00:00:00.0
Nintendo,N64,Banjo-Tooie,90,9.0,2000-11-19 00:00:00.0
Nintendo,N64,WWF No Mercy,89,8.8,2000-11-17 00:00:00.0
Nintendo,N64,Excitebike 64,88,8.0,2000-04-30 00:00:00.0
Nintendo,N64,Star Wars: Episode I Battle for Naboo,84,7.9,2000-12-18 00:00:00.0
Nintendo,N64,Tony Hawk's Pro Skater 2,84,8.8,2001-08-21 00:00:00.0
Nintendo,GC,Metroid Prime,97,9.2,2002-11-17 00:00:00.0
Nintendo,GC,The Legend of Zelda: The Wind Waker,96,8.9,2003-03-24 00:00:00.0
Nintendo,GC,The Legend of Zelda: Twilight Princess,96,8.9,2006-12-11 00:00:00.0
Nintendo,GC,Resident Evil 4,96,9.3,2005-01-11 00:00:00.0
Nintendo,GC,The Legend of Zelda Collector's Edition,95,9.0,2003-11-17 00:00:00.0
Nintendo,GC,Madden NFL 2004,94,7.0,2003-08-12 00:00:00.0
Nintendo,GC,Viewtiful Joe,93,8.3,2003-10-07 00:00:00.0
Nintendo,GC,SoulCalibur II,93,8.8,2003-08-27 00:00:00.0
Nintendo,GC,Metroid Prime 2: Echoes,92,8.8,2004-11-15 00:00:00.0
Nintendo,GC,SSX 3,92,8.8,2003-10-20 00:00:00.0
Nintendo,GBA,Tony Hawk's Pro Skater 2,95,7.1,2001-05-30 00:00:00.0
Nintendo,GBA,The Legend of Zelda: A Link to the Past,95,8.9,2002-12-03 00:00:00.0
Nintendo,GBA,Super Mario Advance 4: Super Mario Bros. 3,94,8.9,2003-10-21 00:00:00.0
Nintendo,GBA,Mario Kart Super Circuit,93,8.2,2001-08-26 00:00:00.0
Nintendo,GBA,Final Fantasy VI Advance,92,9.3,2007-02-05 00:00:00.0
Nintendo,GBA,Super Mario World: Super Mario Advance 2,92,8.9,2002-02-09 00:00:00.0
Nintendo,GBA,Metroid Fusion,92,9.0,2002-11-17 00:00:00.0
Nintendo,GBA,Advance Wars,92,9.0,2001-09-09 00:00:00.0
Nintendo,GBA,Golden Sun,91,9.0,2001-11-11 00:00:00.0
Nintendo,GBA,Castlevania: Circle of the Moon,91,8.5,2001-06-10 00:00:00.0
Nintendo,DS,Flipnote Studio,93,8.4,2009-08-12 00:00:00.0
Nintendo,DS,Grand Theft Auto: Chinatown Wars,93,8.2,2009-03-17 00:00:00.0
Nintendo,DS,Chrono Trigger,92,9.2,2008-11-25 00:00:00.0
Nintendo,DS,Mario Kart DS,91,8.6,2005-11-14 00:00:00.0
Nintendo,DS,Advance Wars: Dual Strike,90,8.9,2005-08-22 00:00:00.0
Nintendo,DS,The Legend of Zelda: Phantom Hourglass,90,8.0,2007-10-01 00:00:00.0
Nintendo,DS,Mario & Luigi: Bowser's Inside Story,90,8.7,2009-09-14 00:00:00.0
Nintendo,DS,Castlevania: Dawn of Sorrow,89,8.4,2005-10-04 00:00:00.0
Nintendo,DS,New Super Mario Bros.,89,8.5,2006-05-15 00:00:00.0
Nintendo,DS,The World Ends with You,88,8.8,2008-04-22 00:00:00.0
Sega,DC,NFL 2K1,97,6.4,2000-09-07 00:00:00.0
Sega,DC,Tony Hawk's Pro Skater 2,97,6.2,2000-11-06 00:00:00.0
Sega,DC,Jet Grind Radio,94,8.0,2000-10-30 00:00:00.0
Sega,DC,Test Drive Le Mans,93,7.7,2000-11-13 00:00:00.0
Sega,DC,Skies of Arcadia,93,8.9,2000-11-13 00:00:00.0
Sega,DC,Quake III Arena,93,8.1,2000-10-22 00:00:00.0
Sega,DC,NBA 2K1,93,7.0,2000-11-01 00:00:00.0
Sega,DC,NBA 2K2,93,7.3,2001-10-24 00:00:00.0
Sega,DC,Marvel vs. Capcom 2,90,8.8,2000-06-29 00:00:00.0
Sega,DC,Grandia II,90,8.6,2000-12-06 00:00:00.0
Nintendo,3DS,The Legend of Zelda: Ocarina of Time 3D,94,9.0,2011-06-19 00:00:00.0
Nintendo,3DS,Fire Emblem: Awakening,92,9.1,2013-02-04 00:00:00.0
Nintendo,3DS,The Legend of Zelda: A Link Between Worlds,91,9.0,2013-11-22 00:00:00.0
Nintendo,3DS,Pushmo,90,8.3,2011-12-08 00:00:00.0
Nintendo,3DS,Shovel Knight,90,8.3,2014-06-26 00:00:00.0
Nintendo,3DS,Super Mario 3D Land,90,8.4,2011-11-13 00:00:00.0
Nintendo,3DS,The Legend of Zelda: Majora's Mask 3D,89,8.9,2015-02-13 00:00:00.0
Nintendo,3DS,3D Streets of Rage II,89,7.4,2015-07-23 00:00:00.0
Nintendo,3DS,3D Gunstar Heroes,89,7.9,2015-08-20 00:00:00.0
Nintendo,3DS,Colors! 3D,89,7.8,2012-04-05 00:00:00.0
